Years,predicted_mean,% Change
2018,46.0,
2019,40.96264358910335,-10.950774806297058
2020,35.253771925053904,-13.936775471122399
2021,22.252842860624632,-36.878122125677734
2024,35.1159830223412,57.804480273741966
2025,38.082918672875316,8.448960829735341
2026,38.082918672875316,0.0
2027,38.082918672875316,0.0
2028,38.082918672875316,0.0
2029,38.082918672875316,0.0
2030,38.082918672875316,0.0
2031,38.082918672875316,0.0
2032,38.082918672875316,0.0
2033,38.082918672875316,0.0
2034,38.082918672875316,0.0
2035,38.082918672875316,0.0
2036,38.082918672875316,0.0
2037,38.082918672875316,0.0
2038,38.082918672875316,0.0
2039,38.082918672875316,0.0
2040,38.082918672875316,0.0
2041,38.082918672875316,0.0
2042,38.082918672875316,0.0
2043,38.082918672875316,0.0
2044,38.082918672875316,0.0
2045,38.082918672875316,0.0
2046,38.082918672875316,0.0
2047,38.082918672875316,0.0
2048,38.082918672875316,0.0
2049,38.082918672875316,0.0
2050,38.082918672875316,0.0
2051,38.082918672875316,0.0
2052,38.082918672875316,0.0
2053,38.082918672875316,0.0
2054,38.082918672875316,0.0
2055,38.082918672875316,0.0
2056,38.082918672875316,0.0
2057,38.082918672875316,0.0
2058,38.082918672875316,0.0
2059,38.082918672875316,0.0
2060,38.082918672875316,0.0
2061,38.082918672875316,0.0
2062,38.082918672875316,0.0
2063,38.082918672875316,0.0
2064,38.082918672875316,0.0
2065,38.082918672875316,0.0
2066,38.082918672875316,0.0
2067,38.082918672875316,0.0
2068,38.082918672875316,0.0
2069,38.082918672875316,0.0
2070,38.082918672875316,0.0
2071,38.082918672875316,0.0
2072,38.082918672875316,0.0
2073,38.082918672875316,0.0
2074,38.082918672875316,0.0
2075,38.082918672875316,0.0
2076,38.082918672875316,0.0
2077,38.082918672875316,0.0
2078,38.082918672875316,0.0
2079,38.082918672875316,0.0
2080,38.082918672875316,0.0
2081,38.082918672875316,0.0
2082,38.082918672875316,0.0
2083,38.082918672875316,0.0
2084,38.082918672875316,0.0
2085,38.082918672875316,0.0
2086,38.082918672875316,0.0
2087,38.082918672875316,0.0
2088,38.082918672875316,0.0
2089,38.082918672875316,0.0
2090,38.082918672875316,0.0
2091,38.082918672875316,0.0
2092,38.082918672875316,0.0
2093,38.082918672875316,0.0
2094,38.082918672875316,0.0
2095,38.082918672875316,0.0
